fname,ObjectId
150618 JAMK Querétaro empresarios.txt,5ec3089dd380e649eb619e25
160418 JAMK Jal desarrollo Edo..txt,5ec3089dd380e649eb619dce
160418 JAMK Jal presenta modelo dual.txt,5ec3089dd380e649eb619dcf
160618 JAMK Tabasco mejores propuestas.txt,5ec3089dd380e649eb619e26
170418 JAMK CDMX niños sin pobreza.txt,5ec3089dd380e649eb619dd0
170518 JAMK CDMX reforma social.txt,5ec3089dd380e649eb619e00
170618 JAMK Guasave Sin 15 días triunfo.txt,5ec3089dd380e649eb619e27
180418 JAMK NL proyecto eco.txt,5ec3089dd380e649eb619dd1
180418 JAMK NL transporte.txt,5ec3089dd380e649eb619dd2
180418 JAMK NL vs fomento violencia Amlo.txt,5ec3089dd380e649eb619dd3
180518 JAMK CDMX defensa migrantes.txt,5ec3089dd380e649eb619e01
180618 JAMK Ags voto razonado.txt,5ec3089dd380e649eb619e28
180618 JAMK Comunicado acusaciones RAC.txt,5ec3089dd380e649eb619e29
190418 JAMK CDMX iniciativa fuero.txt,5ec3089dd380e649eb619dd5
190418 JAMK Edomex Juana niñez.txt,5ec3089dd380e649eb619dd4
190518 JAMK BC llegada 2do debate.txt,5ec3089dd380e649eb619e02
190618 JAMK BCS vamos a ganar.txt,5ec3089dd380e649eb619e2a
190618 JAMK BCS vs pol migrante EU.txt,5ec3089dd380e649eb619e2b
190618 JAMK Comunicado cancelación Ref Ed.txt,5ec3089dd380e649eb619e2c
190618 JAMK INE impide PAN msj columniosos.txt,5ec3089dd380e649eb619e2d
200418 JAMK CDMX Ríos Píter se suma.txt,5ec3089dd380e649eb619dd6
200618 JAMK Repr PRI INE pruebas vs Amlo.txt,5ec3089dd380e649eb619e2e
200618 JAMK Zongolica Ver indígenas.txt,5ec3089dd380e649eb619e2f
210518 JAMK BC Morena negocio.txt,5ec3089dd380e649eb619e03
220418 JAMK CDMX festejo 1er debate.txt,5ec3089dd380e649eb619dd7
220518 JAMK Coahuila empleo.txt,5ec3089dd380e649eb619e05
220518 JAMK Durango 5 ejes campo.txt,5ec3089dd380e649eb619e06
220618 JAMK Puebla mesianismo.txt,5ec3089dd380e649eb619e30
230518 JAMK CDMX discapacitados.txt,5ec3089dd380e649eb619e07
230518 JAMK Tlaxcala voz a víctimas.txt,5ec3089dd380e649eb619e08
230618 JAMK Coatzacoalcos_Ver.txt,5ec3089dd380e649eb619e31
230618 JAMK Veracruz huachicoleo.txt,5ec3089dd380e649eb619e32
240418 JAMK Coah exige resp Amlo.txt,5ec3089dd380e649eb619dd8
240418 JAMK Coah mejor destino p Edo.txt,5ec3089dd380e649eb619dd9
240518 JAMK CDMX México seguro.txt,5ec3089dd380e649eb619e09
240618 JAMK CDMX izq abrió puerta crimen.txt,5ec3089dd380e649eb619e33
240618 JAMK Toluca ver a los ojos.txt,5ec3089dd380e649eb619e34
250418 JAMK Coah cinco compr Monclova.txt,5ec3089dd380e649eb619dda
250418 JAMK Coah hartos de delincuencia.txt,5ec3089dd380e649eb619ddb
250518 JAMK Zacatecas Nestora Salgado.txt,5ec589b7a5e2f93624f8341e
250618 Empresarios respaldan JAMK.txt,5ec3089dd380e649eb619e35
250618 JAMK Mich señales de riesgo.txt,5ec3089dd380e649eb619e36
250618 JAMK Mich soberbia_receta para perder.txt,5ec3089dd380e649eb619e37
250618 Nuño_Amlo prepara discurso fraude.txt,5ec3089dd380e649eb619e38
260418 JAMK cumple gastos campaña.txt,5ec3089dd380e649eb619ddc
260418 JAMK Tamps delincuencia.txt,5ec3089dd380e649eb619ddd
260418 JAMK Tamps desarrollo eco.txt,5ec3089dd380e649eb619dde
260518 JAMK Edomex aerupuerto.txt,5ec3089dd380e649eb619e0b
260618 JAMK Cierre campaña Boletín 268.txt,5ec3089dd380e649eb619e39
270418 JAMK NuevoL juventud.txt,5ec3089dd380e649eb619ddf
270518 JAMK Camp seguridad social.txt,5ec3089dd380e649eb619e0c
270518 JAMK CDMX 60 mil simpatizantes.txt,5ec3089dd380e649eb619e0d
270618 JAMK Coah lado correcto de la historia.txt,5ec3089dd380e649eb619e3a
280418 JAMK CDMX Amlo riesgo eco.txt,5ec3089dd380e649eb619de0
280418 JAMK CDMX apoyo org rurales.txt,5ec3089dd380e649eb619de1
280418 JAMK Chiapas estado esencial.txt,5ec3089dd380e649eb619de2
280518 JAMK CDMX respaldo fam Mouriño.txt,5ec3089dd380e649eb619e0e
290418 JAMK Dgo agradece apoyo campo.txt,5ec3089dd380e649eb619de3
290518 JAMK CDMX justicia.txt,5ec3089dd380e649eb619e0f
300318 JAMK CDMX presenta Buzón cand.txt,5ec3089dd380e649eb619de4
300418 JAMK CDMX compromisos niñez.txt,5ec3089dd380e649eb619de5
300418 JAMK QRoo vs políticos de ocurrencia.txt,5ec3089dd380e649eb619de6
300518 JAMK Tamps seguridad.txt,5ec3089dd380e649eb619e10
310318 JAMK Yuc recibe cand bienvenida.txt,5ec3089dd380e649eb619de7
310518 JAMK Nay proteger trabajadores.txt,5ec3089dd380e649eb619e11
310518 Vanessa CDMX.txt,5ec3089dd380e649eb619e12
